id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,lum,var,var_min,var_max
1,677,358,15,,21Alp And,Alpheratz,0.139791,29.090432,29.7442,135.68,-162.95,-12,2.07,-0.297,B9p,-0.038,25.974572,0.951042,14.461264,-0.00000002,0.00001958,-0.0000265,0.036597163,0.507723818,6.57795E-07,-7.90004E-07,Alp,21,And,1,676,114.4985535,Alp,2.083,2.063
2,746,432,21,Gl 8,11Bet Cas,Caph,0.152887,59.14978,16.7842,523.39,-180.42,11.3,2.28,1.155,F2III-IV,0.38,8.600014,0.344589,14.409503,0.00001681,0.00004329,0.00000239,0.040025853,1.032358404,2.53747E-06,-8.74701E-07,Bet,11,Cas,1,744,30.06076303,Bet,2.303,2.263
3,1067,886,39,,88Gam Peg,Algenib,0.220598,15.183596,120.048,4.7,-8.24,4,2.83,-2.567,B2IV,-0.19,115.664183,6.687324,31.442127,0.00000504,0.00000303,-0.00000356,0.057752413,0.26500374,2.27862E-08,-3.99486E-08,Gam,88,Peg,1,1065,926.4031007,Gam,2.846,2.816
4,2081,2261,99,,Alp Phe,Ankaa,0.438056,-42.305981,25.974,232.76,-353.64,75,2.4,0.327,K0III...,1.083,19.083654,2.198282,-17.483284,0.00002323,0.00003218,-0.00008456,0.114682903,-0.738378669,1.12845E-06,-1.7145E-06,Alp,,Phe,1,2076,64.44659847,,,
5,3179,3712,168,,18Alp Cas,Shedir,0.675116,56.537331,69.979,50.36,-32.17,-4,2.24,-1.985,K0II-IIIvar,1.17,37.984817,6.784483,58.379619,0.00000374,0.00001802,-0.00000943,0.176744881,0.986762576,2.44152E-07,-1.55965E-07,Alp,18,Cas,1,3172,542.0008904,Alp,2.25,2.23
6,3419,4128,188,Gl 31,16Bet Cet,Diphda,0.72649,-17.986605,29.5334,232.79,32.71,13.3,2.04,-0.312,K0III,1.019,27.583638,5.310463,-9.119792,0.00000782,0.00003545,0.00000025,0.190194642,-0.31392547,1.1286E-06,1.58583E-07,Bet,16,Cet,1,3413,116.091387,,,
7,3765,4628,222,Gl 33,,96 G. Psc,0.806382,5.280615,7.4549,758.04,-1141.22,-10,5.74,6.378,K2V,0.89,7.258368,1.555495,0.686093,-0.00001198,0.00002545,-0.00004201,0.211110319,0.092164116,3.67508E-06,-5.53279E-06,,,Psc,1,3759,0.244793567,,,
8,3829,,,Gl 35,,Van Maanen's Star,0.819416,5.38861,4.2626,1233.05,-2710.56,54,12.37,14.222,DG,0.554,4.146957,0.903519,0.400348,0.00005345,0.00003772,-0.00005057,0.214522514,0.094048979,5.978E-06,-1.31412E-05,,,,1,3820,0.00017832,,12.621,12.091
9,4427,5394,264,,27Gam Cas,Cih,0.945143,60.71674,168.3502,25.65,-3.82,-7,2.15,-3.981,B0IV:evar,-0.046,79.836717,20.168018,146.837047,-0.00000589,0.0000201,-0.00000777,0.247437951,1.059707029,1.24355E-07,-1.85199E-08,Gam,27,Cas,1,4417,3407.218617,Gam,2.173,2.133
10,5447,6860,337,Gl 53.3,43Bet And,Mirach,1.162194,35.620558,60.5327,175.59,-112.23,-0.8,2.07,-1.84,M0IIIvar,1.576,46.946371,14.741814,35.255129,0.00000223,0.00005471,-0.00002725,0.304261793,0.621696012,8.51284E-07,-5.44106E-07,Bet,43,And,1,5436,474.2419853,,,
