name,iau_moon_number,absolute_magnitude,albedo,color,coord_func,orbit_ascendingnode,orbit_eccentricity,orbit_epoch,orbit_inclination,orbit_longofpericenter,orbit_meanlongitude,orbit_period,orbit_semimajoraxis,parent,radius,rot_equator_ascending_node,rot_obliquity,rot_rotation_offset,rot_pole_ra,rot_pole_ra1,rot_pole_de,rot_pole_de1,rot_pole_w0,rot_pole_w1,tex_map,type,model,orbit_visualization_period,rot_periode,atmosphere,landscape,oblateness,rot_epoch,precessionrate,rotationperiod,normals_map,roughness,ring_inner_size,ring_outer_size,rings,tex_ring,minor_planet_number,halo,hidden
Adrastea,JXV,12.4,0.1,"1., 0.9, 0.75",ell_orbit,253.6924110934923,0.006543120249224196,2454619.50000,0.06166936906340893,249.4662007624690000,252.4809048448870000,0.3023760117035458,129866.6459712491,Jupiter,10,213.7,15.5,309.52,268.05,-0.009,64.49,0.003,33.29,1206.9986602,lune.png,moon,,,,,,,,,,,,,,,,,,
Amalthea,JV,7.4,0.09,"1., 0.627, 0.492",ell_orbit,141.5521520794674,0.006175744402949701,2454619.50000,0.3864576103404582,245.4222355150120000,224.7924893552550000,0.5016370462116355,181994.8658358799,Jupiter,73,213.7,15.5,235.50,268.05,-0.009,64.49,0.003,231.67,722.6314560,amalthea.png,moon,j5amalthea_MLfix.obj,,,,,,,,,,,,,,,,,
Ananke,JXII,12.2,0.04,"1., 0.9, 0.75",ell_orbit,44.39093600694746,0.2167681894364261,2454619.50000,148.5711484137670,140.3109688567360000,14.7478795145449000,648.6406641467003,21600750.92227203,Jupiter,15,213.7,15.5,14.9,,,,,,,lune.png,moon,,,,,,,,,,,,,,,,,,
Ariel,UI,1.45,0.39,"1., 0.849, 0.731",ariel_special,,,,,,,,,Uranus,578.9,,0.0,162.08,257.43,,-15.10,,156.22,-142.8356681,ariel.png,moon,,2.520,-60.4890929200618,,,,,,,,,,,,,,,
Atlas,SXV,9.5,0.5,"1., 0.9, 0.75",ell_orbit,169.5200948744269,0.005462739137823721,2457939.5,0.4895489386776732,324.0749833218269,334.93621367164071,0.6074527979703287,138323.66763259140516208977,Saturn,18.5,0,0,0,,,,,,,lune.png,moon,,,,,,,,,,,,,,,,,,
Callisto,JIV,-1.05,0.17,"1., 0.979, 0.897",calisto_special,,,,,,,,,Jupiter,2403.,160.6,0.4,120.80,268.72,-0.009,64.83,0.003,259.51,21.5710715,callisto.png,moon,,16.689,400.5364314,1,,,,,,,,,,,,,,
Calypso,SXIV,9.4,0.7,"1., 0.9, 0.75",ell_orbit,172.7090481468045,0.001295104663069735,2457939.5,0.4904914193932725,341.3365920358861,361.31395377154122,1.891649067318720,294972.7190716467861638466,Saturn,15,0,0,0,,,,,,,lune.png,moon,,,,,,,,,,,,,,,,,,
Carme,JXI,11.3,0.04,"1., 0.9, 0.75",ell_orbit,157.3089190745055,0.2602970868062183,2454619.50000,168.2000198365060,249.8596440195790000,168.7753954572220000,691.6548924754876,22545456.68297467,Jupiter,15,213.7,15.5,14.9,,,,,,,lune.png,moon,,,,,,,,,,,,,,,,,,
Charon,PI,0.9,0.372,,ell_orbit,93.5582,0.0002,2451545.0,0.0048,227.3188,320.7583,-6.387246,19636,Pluto,593.,287.6,1.0,195.62,132.993,,-6.163,,122.695,-56.3625225,charon.png,moon,,6.387246,-153.293904,,,,,,,,,,,,,,,
Cordelia,UVI,11.4,0.07,"1., 0.9, 0.75",ell_orbit,167.7148904012911,0.001333018821781869,2457939.5,1.705913342105055,440.5689971423595,449.703451650034749,-0.3359924013672617,49823.45426797616627829201,Uranus,13,0,0,0,,,,,,,lune.png,moon,,,,,,,,,,,,,,,,,,
Cressida,UIX,9.5,0.07,"1., 0.9, 0.75",ell_orbit,167.6595437537520,0.001230172627215345,2457939.5,1.705582431401178,485.6980669812428,843.4569449635578,-0.4644183005227532,61823.52259021176593381433,Uranus,33,0,0,0,,,,,,,lune.png,moon,,,,,,,,,,,,,,,,,,
Deimos,MII,12.89,0.08,"1., 0.93, 0.832",deimos_special,,,,,,,,,Mars,6.2,186.6,0.6,211.4,316.65,-0.108,53.52,-0.061,79.41,285.1618970,deimos.png,moon,m2deimos.obj.gz,1.263,30.29857807,,,,,,,,,,,,,,,
Desdemona,UX,9.8,0.07,"1., 0.9, 0.75",ell_orbit,167.6759519500954,0.0007928166334102272,2457939.5,1.703907849000125,252.70345435111075,254.190232823062818,-0.4744640424063798,62711.8674164425501292106,Uranus,29,0,0,0,,,,,,,lune.png,moon,,,,,,,,,,,,,,,,,,
Despina,NV,7.9,0.090,"1., 0.9, 0.75",ell_orbit,16.63627320068509,0.001272032273930335,2454619.50000,0.5113748544074094,151.8881808,143.7191234,0.3354528211477725,52588.64584972781,Neptune,74,213.7,15.5,5.67,299.36,,43.45,,306.51,1075.7341562,lune.png,moon,,,,,,,,,,,,,,,,,,
Dione,SIV,0.8,0.6,"1.0, 0.98, 0.966",dione_special,,,,,,,,,Saturn,560.,,0.0,316.98,40.66,-0.036,83.52,-0.004,357.6,131.5349316,dione.png,moon,,2.736915,65.68597326,,,,,,,,,,,,,,,
Earth,,-3.86,0.3,"0.898, 0.94, 1.",earth_special,,,,,,,,,,6378.1366 # IAU2009 Current Best Estimate,,-23.4392803055555555556,280.5,0,-0.641,90,-0.557,190.147,360.9856235,earth-clouds.png,planet,,365.256363004,23.9344694,1,guereins,0.003352810664747481,2451545.0,,,,,,,,,,,
Elara,JVII,10.0,0.04,"1., 0.9, 0.75",ell_orbit,108.1879658680286,0.1961747274882456,2454619.50000,31.98511468770062,271.5797601368340000,172.2385623581720000,258.8836449322499,11709431.51919092,Jupiter,40,213.7,15.5,14.9,,,,,,,lune.png,moon,,,12,,,,,,,,,,,,,,,
Enceladus,SII,2.1,1.0,"1., 0.998, 0.991",enceladus_special,,,,,,,,,Saturn,249.4,,0.0,322.9,40.66,-0.036,83.52,-0.004,6.32,262.7318996,enceladus.png,moon,,1.370218,32.88523401,,,,,,,,,,,,,,,
Europa,JII,-1.41,0.67,"1., 0.968, 0.887",europa_special,,,,,,,,,Jupiter,1565.,,0.0,54.89,268.08,-0.009,64.51,0.003,36.022,101.3747235,europa.png,moon,,3.551,85.22834590,1,,,,,,,,,,,,,,
